total_packet_rate,total_byte_rate,avg_packet_size,tcp_rate,syn_rate,ack_rate,syn_to_ack_ratio,unique_source_ips,label
19.0,2614.5,137.60526315789474,6.0,2.0,5.0,0.39999996000000404,2,0
11.5,1014.5,88.21739130434783,3.0,2.0,1.0,1.9999990000005,2,0
6.0,621.5,103.58333333333333,0.0,0.0,0.0,0.0,0,0
2.5,223.0,89.2,0.0,0.0,0.0,0.0,0,0
2.5,223.0,89.2,0.0,0.0,0.0,0.0,0,0
13.0,1040.0,80.0,0.0,0.0,0.0,0.0,0,0
20.5,2645.0,129.02439024390245,6.0,2.0,5.0,0.39999996000000404,2,0
8.5,577.0,67.88235294117646,0.5,0.5,0.0,1000000.0,1,0
3.0,180.0,60.0,2.5,1.5,1.0,1.499999250000375,2,0
6.5,551.0,84.76923076923077,0.0,0.0,0.0,0.0,0,0
2.5,223.0,89.2,0.0,0.0,0.0,0.0,0,0
2.5,223.0,89.2,0.0,0.0,0.0,0.0,0,0
5.5,403.0,73.27272727272727,0.0,0.0,0.0,0.0,0,0
7.0,511.0,73.0,0.0,0.0,0.0,0.0,0,0
5.5,742.0,134.9090909090909,0.0,0.0,0.0,0.0,0,0
23.5,2287.0,97.31914893617021,0.0,0.0,0.0,0.0,0,0
11.5,2068.0,179.82608695652175,6.0,2.0,5.0,0.39999996000000404,2,0
1.5,95.0,63.333333333333336,0.5,0.5,0.0,1000000.0,1,0
11.0,1542.5,140.22727272727272,2.5,1.5,1.0,1.499999250000375,2,0
9.5,1471.0,154.8421052631579,0.0,0.0,0.0,0.0,0,0
7.0,550.0,78.57142857142857,0.0,0.0,0.0,0.0,0,0
2.0,182.5,91.25,0.0,0.0,0.0,0.0,0,0
3.0,266.0,88.66666666666667,0.0,0.0,0.0,0.0,0,0
2.5,223.0,89.2,0.0,0.0,0.0,0.0,0,0
3.0,413.5,137.83333333333334,0.0,0.0,0.0,0.0,0,0
6.5,499.5,76.84615384615384,0.0,0.0,0.0,0.0,0,0
19.5,1481.0,75.94871794871794,0.5,0.5,0.0,1000000.0,1,0
16.0,2191.0,136.9375,5.5,1.5,5.0,0.299999970000003,2,0
9.0,675.0,75.0,2.0,1.5,0.5,2.9999970000030003,2,0
6.0,438.0,73.0,1.0,0.5,0.5,0.9999990000010001,2,0
11.0,779.0,70.81818181818181,0.0,0.0,0.0,0.0,0,0
