total_packet_rate,total_byte_rate,avg_packet_size,icmp_rate,icmp_to_total_ratio,unique_source_ips,label
97.0,6573.0,67.76288659793815,78.5,0.8092783505154639,5,1
113.5,7591.0,66.88105726872247,94.5,0.8325991189427313,5,1
107.5,7059.0,65.66511627906976,94.5,0.8790697674418605,6,1
108.5,7144.0,65.84331797235023,94.5,0.8709677419354839,5,1
101.0,6563.0,64.98019801980197,94.5,0.9356435643564357,4,1
97.5,6254.0,64.14358974358974,94.5,0.9692307692307692,4,1
103.0,6712.0,65.16504854368932,94.5,0.9174757281553398,8,1
97.5,6191.0,63.4974358974359,94.5,0.9692307692307692,5,1
95.0,6028.0,63.45263157894737,94.5,0.9947368421052631,3,1
104.0,6807.0,65.45192307692308,94.5,0.9086538461538461,6,1
119.0,8048.0,67.63025210084034,94.5,0.7941176470588235,5,1
101.5,6607.0,65.0935960591133,94.5,0.9310344827586207,4,1
101.5,6606.0,65.08374384236453,94.5,0.9310344827586207,4,1
99.0,6387.0,64.51515151515152,94.5,0.9545454545454546,4,1
100.5,6490.0,64.57711442786069,94.5,0.9402985074626866,8,1
101.5,6606.0,65.08374384236453,94.5,0.9310344827586207,4,1
101.5,6606.0,65.08374384236453,94.5,0.9310344827586207,4,1
99.0,6300.0,63.63636363636363,94.5,0.9545454545454546,5,1
96.0,6075.0,63.28125,94.5,0.984375,3,1
96.5,6105.0,63.26424870466321,94.5,0.9792746113989638,4,1
104.0,6836.0,65.73076923076923,94.5,0.9086538461538461,4,1
104.5,6843.0,65.48325358851675,94.5,0.9043062200956937,8,1
97.5,6254.0,64.14358974358974,94.5,0.9692307692307692,4,1
103.0,8124.5,78.87864077669903,94.5,0.9174757281553398,4,1
104.0,8026.0,77.17307692307692,94.5,0.9086538461538461,5,1
109.5,8459.0,77.25114155251141,94.5,0.863013698630137,5,1
103.5,8229.0,79.5072463768116,94.5,0.9130434782608695,4,1
