total_packet_rate,total_byte_rate,avg_packet_size,udp_rate,udp_to_total_ratio,unique_source_ips,label
19.5,1481.0,75.94871794871794,10.0,0.5128205128205128,3,0
16.0,2191.0,136.9375,0.0,0.0,7,0
9.0,675.0,75.0,3.0,0.3333333333333333,5,0
6.0,438.0,73.0,2.5,0.4166666666666667,5,0
11.0,779.0,70.81818181818181,3.5,0.3181818181818182,6,0
9.5,700.0,73.6842105263158,3.5,0.3684210526315789,4,0
4.5,359.0,79.77777777777777,2.5,0.5555555555555556,4,0
9.0,605.5,67.27777777777777,1.5,0.16666666666666666,4,0
8.5,640.0,75.29411764705883,2.0,0.23529411764705882,7,0
5.0,339.5,67.9,1.5,0.3,2,0
20.0,1569.5,78.475,11.0,0.55,3,0
13.0,1989.0,153.0,1.0,0.07692307692307693,3,0
9.0,675.0,75.0,3.0,0.3333333333333333,5,0
6.5,468.0,72.0,2.5,0.38461538461538464,5,0
6.5,475.5,73.15384615384616,2.5,0.38461538461538464,6,0
5.5,466.0,84.72727272727273,2.5,0.45454545454545453,6,0
5.5,387.0,70.36363636363636,1.5,0.2727272727272727,3,0
22.0,1691.0,76.86363636363636,11.5,0.5227272727272727,4,0
17.0,2345.0,137.94117647058823,4.5,0.2647058823529412,5,0
5.0,321.0,64.2,0.5,0.1,4,0
7.5,628.5,83.8,2.0,0.26666666666666666,3,0
18.0,1460.5,81.13888888888889,5.0,0.2777777777777778,10,0
7.5,680.5,90.73333333333333,2.0,0.26666666666666666,4,0
6.0,627.5,104.58333333333333,4.0,0.6666666666666666,4,0
4.0,491.5,122.875,3.5,0.875,3,0
4.5,662.5,147.22222222222223,4.0,0.8888888888888888,3,0
22.5,2092.0,92.97777777777777,14.5,0.6444444444444445,3,0
17.5,2546.0,145.4857142857143,4.0,0.22857142857142856,8,0
3.5,210.0,60.0,0.5,0.14285714285714285,2,0
2.0,271.0,135.5,1.0,0.5,3,0
5.0,451.0,90.2,3.5,0.7,2,0
2.5,223.0,89.2,2.0,0.8,2,0
22.0,1659.0,75.4090909090909,10.5,0.4772727272727273,4,0
18.5,2524.0,136.43243243243242,5.5,0.2972972972972973,9,0
5.5,408.0,74.18181818181819,2.0,0.36363636363636365,4,0
5.0,378.0,75.6,2.5,0.5,4,0
6.5,452.0,69.53846153846153,2.0,0.3076923076923077,5,0
3.5,351.0,100.28571428571429,0.5,0.14285714285714285,2,0
4.5,270.0,60.0,0.0,0.0,1,0
10.5,838.0,79.80952380952381,3.5,0.3333333333333333,7,0
5.5,877.0,159.45454545454547,5.0,0.9090909090909091,3,0
23.5,2287.0,97.31914893617021,15.5,0.6595744680851063,3,0
17.0,2318.0,136.35294117647058,3.5,0.20588235294117646,5,0
5.5,387.0,70.36363636363636,1.5,0.2727272727272727,5,0
11.5,2184.0,189.91304347826087,5.5,0.4782608695652174,5,0
7.0,503.0,71.85714285714286,2.5,0.35714285714285715,5,0
3.5,267.0,76.28571428571429,0.0,0.0,5,0
4.0,253.0,63.25,0.0,0.0,2,0
22.5,1943.5,86.37777777777778,13.0,0.5777777777777777,4,0
16.5,2315.0,140.3030303030303,4.5,0.2727272727272727,5,0
6.0,579.0,96.5,2.5,0.4166666666666667,5,0
8.5,567.0,66.70588235294117,1.5,0.17647058823529413,5,0
10.0,1057.5,105.75,4.5,0.45,9,0
4.0,313.0,78.25,2.0,0.5,3,0
5.5,387.0,70.36363636363636,1.5,0.2727272727272727,3,0
4.0,397.0,99.25,1.0,0.25,3,0
3.0,194.0,64.66666666666667,0.0,0.0,2,0
26.5,2089.0,78.83018867924528,15.0,0.5660377358490566,4,0
17.0,2327.0,136.88235294117646,2.0,0.11764705882352941,9,0
6.5,542.5,83.46153846153847,3.0,0.46153846153846156,4,0
17.5,1492.5,85.28571428571429,10.5,0.6,4,0
6.5,550.0,84.61538461538461,4.5,0.6923076923076923,4,0
10.0,888.5,88.85,4.0,0.4,3,0
7.5,621.0,82.8,4.5,0.6,3,0
5.0,339.5,67.9,1.5,0.3,2,0
4.5,337.5,75.0,0.5,0.1111111111111111,6,0
7.5,672.0,89.6,4.5,0.6,2,0
24.0,1910.5,79.60416666666667,13.5,0.5625,4,0
18.5,2408.0,130.16216216216216,3.5,0.1891891891891892,6,0
8.5,583.0,68.58823529411765,2.0,0.23529411764705882,5,0
5.0,362.0,72.4,2.0,0.4,5,0
6.5,475.5,73.15384615384616,2.5,0.38461538461538464,6,0
8.0,602.5,75.3125,2.0,0.25,6,0
5.0,478.5,95.7,1.5,0.3,2,0
5.0,505.5,101.1,1.5,0.3,3,0
26.5,2073.0,78.22641509433963,14.5,0.5471698113207547,4,0
17.0,2609.0,153.47058823529412,4.0,0.23529411764705882,5,0
7.5,678.0,90.4,2.5,0.3333333333333333,5,0
11.0,973.5,88.5,4.0,0.36363636363636365,9,0
3.5,330.0,94.28571428571429,3.0,0.8571428571428571,3,0
4.5,622.5,138.33333333333334,3.5,0.7777777777777778,4,0
6.5,463.0,71.23076923076923,2.0,0.3076923076923077,3,0
2.5,207.0,82.8,1.5,0.6,3,0
11.5,912.0,79.30434782608695,4.5,0.391304347826087,3,0
10.5,876.0,83.42857142857143,4.5,0.42857142857142855,7,0
19.0,1524.0,80.21052631578948,12.0,0.631578947368421,3,0
12.5,2013.0,161.04,2.5,0.2,4,0
5.5,403.0,73.27272727272727,2.0,0.36363636363636365,4,0
4.5,353.0,78.44444444444444,3.0,0.6666666666666666,4,0
11.0,923.0,83.9090909090909,5.5,0.5,3,0
6.0,456.5,76.08333333333333,2.5,0.4166666666666667,4,0
23.0,2091.5,90.93478260869566,13.0,0.5652173913043478,6,0
14.5,2569.0,177.17241379310346,4.5,0.3103448275862069,2,0
4.0,445.0,111.25,2.0,0.5,4,0
5.0,404.0,80.8,2.5,0.5,4,0
4.5,353.0,78.44444444444444,3.0,0.6666666666666666,4,0
11.5,2184.0,189.91304347826087,5.0,0.43478260869565216,3,0
7.0,550.0,78.57142857142857,2.0,0.2857142857142857,7,0
2.5,211.0,84.4,2.0,0.8,3,0
22.0,1782.0,81.0,13.5,0.6136363636363636,3,0
19.0,2484.0,130.73684210526315,2.5,0.13157894736842105,4,0
3.0,180.0,60.0,0.0,0.0,3,0
9.5,590.5,62.1578947368421,1.5,0.15789473684210525,5,0
6.5,682.5,105.0,3.0,0.46153846153846156,4,0
11.5,924.5,80.3913043478261,3.0,0.2608695652173913,5,0
20.5,1633.0,79.65853658536585,12.5,0.6097560975609756,3,0
14.0,2122.0,151.57142857142858,3.0,0.21428571428571427,5,0
10.5,879.5,83.76190476190476,3.0,0.2857142857142857,5,0
7.5,517.0,68.93333333333334,2.5,0.3333333333333333,6,0
7.0,500.5,71.5,2.0,0.2857142857142857,4,0
3.0,240.0,80.0,0.5,0.16666666666666666,4,0
25.5,2000.5,78.45098039215686,13.5,0.5294117647058824,4,0
20.5,2509.0,122.39024390243902,3.0,0.14634146341463414,6,0
8.5,583.0,68.58823529411765,2.0,0.23529411764705882,6,0
11.0,738.0,67.0909090909091,2.5,0.22727272727272727,6,0
11.0,886.5,80.5909090909091,3.0,0.2727272727272727,10,0
3.5,466.0,133.14285714285714,3.0,0.8571428571428571,3,0
2.5,223.0,89.2,2.0,0.8,2,0
6.5,390.0,60.0,0.0,0.0,2,0
3.0,194.0,64.66666666666667,0.0,0.0,2,0
28.0,2163.0,77.25,14.5,0.5178571428571429,5,0
18.5,2360.0,127.56756756756756,2.0,0.10810810810810811,6,0
9.5,684.0,72.0,1.5,0.15789473684210525,9,0
4.5,335.5,74.55555555555556,1.5,0.3333333333333333,5,0
4.5,353.0,78.44444444444444,3.0,0.6666666666666666,4,0
4.5,356.0,79.11111111111111,2.0,0.4444444444444444,3,0
5.0,355.5,71.1,2.0,0.4,2,0
4.0,297.0,74.25,1.5,0.375,3,0
3.0,187.5,62.5,0.0,0.0,2,0
3.0,390.0,130.0,0.5,0.16666666666666666,4,0
24.5,1903.0,77.6734693877551,12.5,0.5102040816326531,4,0
16.5,2315.0,140.3030303030303,4.5,0.2727272727272727,5,0
4.0,318.0,79.5,2.0,0.5,4,0
5.5,403.0,73.27272727272727,2.0,0.36363636363636365,4,0
10.0,900.5,90.05,5.0,0.5,5,0
10.0,819.0,81.9,4.5,0.45,7,0
2.5,223.0,89.2,2.0,0.8,2,0
0.5,46.0,92.0,0.5,1.0,1,0
17.0,2946.0,173.2941176470588,10.0,0.5882352941176471,3,0
9.5,1701.0,179.05263157894737,5.5,0.5789473684210527,3,0
82.5,11667.0,141.4181818181818,37.0,0.4484848484848485,10,0
14.5,1516.5,104.58620689655173,4.0,0.27586206896551724,6,0
21.5,3670.5,170.72093023255815,11.5,0.5348837209302325,9,0
41.0,5058.5,123.3780487804878,21.5,0.524390243902439,5,0
29.5,4738.5,160.6271186440678,15.5,0.5254237288135594,4,0
26.5,4320.5,163.03773584905662,17.0,0.6415094339622641,3,0
34.0,4841.0,142.38235294117646,24.0,0.7058823529411765,4,0
49.0,4456.0,90.93877551020408,31.0,0.6326530612244898,7,0
28.0,5716.0,204.14285714285714,9.0,0.32142857142857145,7,0
20.5,2340.0,114.14634146341463,12.5,0.6097560975609756,9,0
23.5,2572.5,109.46808510638297,15.0,0.6382978723404256,4,0
9.5,1700.5,179.0,4.0,0.42105263157894735,5,0
6.0,638.5,106.41666666666667,1.5,0.25,3,0
12.5,1040.0,83.2,6.0,0.48,4,0
20.0,1859.0,92.95,10.0,0.5,4,0
15.5,1261.5,81.38709677419355,8.5,0.5483870967741935,4,0
19.0,2538.5,133.60526315789474,4.0,0.21052631578947367,8,0
