total_packet_rate,total_byte_rate,avg_packet_size,udp_rate,udp_to_total_ratio,unique_source_ips,label
136.5,9093.0,66.61538461538461,69.0,0.5054945054945055,4,1
133.0,8744.0,65.74436090225564,67.0,0.5037593984962406,4,1
130.0,8523.0,65.56153846153846,65.5,0.5038461538461538,4,1
132.0,8725.0,66.09848484848484,66.5,0.5037878787878788,4,1
135.5,9005.0,66.45756457564576,66.5,0.4907749077490775,8,1
128.0,8373.0,65.4140625,64.5,0.50390625,4,1
131.5,8680.0,66.00760456273764,66.5,0.5057034220532319,4,1
133.0,8790.0,66.09022556390977,67.0,0.5037593984962406,4,1
128.0,8491.5,66.33984375,64.5,0.50390625,4,1
126.0,8190.0,65.0,63.0,0.5,2,1
128.0,8372.0,65.40625,64.0,0.5,4,1
144.5,9619.0,66.5674740484429,71.5,0.49480968858131485,8,1
132.0,8725.0,66.09848484848484,66.5,0.5037878787878788,4,1
129.5,8519.0,65.78378378378379,65.0,0.5019305019305019,4,1
128.5,8423.0,65.54863813229572,65.0,0.5058365758754864,4,1
133.5,8980.5,67.26966292134831,67.5,0.5056179775280899,4,1
132.0,8725.0,66.09848484848484,66.5,0.5037878787878788,4,1
128.0,8373.0,65.4140625,64.5,0.50390625,4,1
131.5,8680.0,66.00760456273764,66.5,0.5057034220532319,4,1
131.0,8557.0,65.3206106870229,64.0,0.48854961832061067,6,1
128.0,8310.0,64.921875,63.0,0.4921875,4,1
132.5,8750.0,66.0377358490566,66.5,0.5018867924528302,4,1
135.0,8859.0,65.62222222222222,66.5,0.4925925925925926,5,1
134.5,8880.0,66.02230483271376,67.0,0.49814126394052044,5,1
137.0,9166.0,66.9051094890511,67.0,0.48905109489051096,5,1
134.0,9560.0,71.34328358208955,67.5,0.503731343283582,4,1
139.5,9358.0,67.08243727598567,67.0,0.48028673835125446,9,1
137.5,9060.0,65.89090909090909,67.0,0.48727272727272725,5,1
134.5,8829.0,65.64312267657992,66.0,0.49070631970260226,5,1
132.0,8643.0,65.47727272727273,66.0,0.5,5,1
138.0,9303.0,67.41304347826087,66.0,0.4782608695652174,5,1
130.5,8934.0,68.45977011494253,66.0,0.5057471264367817,3,1
138.5,9455.0,68.26714801444044,70.5,0.5090252707581228,4,1
130.5,8579.0,65.73946360153256,66.0,0.5057471264367817,4,1
138.0,9070.0,65.72463768115942,66.5,0.48188405797101447,9,1
138.0,9121.0,66.09420289855072,67.5,0.4891304347826087,5,1
133.5,8815.0,66.02996254681648,66.5,0.49812734082397003,5,1
128.0,8373.0,65.4140625,64.5,0.50390625,4,1
131.0,8786.0,67.06870229007633,66.5,0.5076335877862596,4,1
134.0,8855.0,66.08208955223881,67.5,0.503731343283582,4,1
129.5,8591.5,66.34362934362935,65.0,0.5019305019305019,4,1
129.0,8417.0,65.24806201550388,62.5,0.4844961240310077,7,1
133.5,8707.0,65.22097378277154,64.0,0.4794007490636704,6,1
135.5,8992.0,66.36162361623616,68.5,0.5055350553505535,4,1
135.0,8905.0,65.96296296296296,66.5,0.4925925925925926,5,1
133.0,8729.0,65.63157894736842,65.5,0.4924812030075188,5,1
129.5,8488.0,65.54440154440154,65.5,0.5057915057915058,4,1
131.5,8850.5,67.30418250950571,66.5,0.5057034220532319,4,1
131.0,8660.0,66.10687022900764,66.0,0.5038167938931297,4,1
135.5,9154.5,67.56088560885608,66.0,0.4870848708487085,9,1
133.0,8770.0,65.93984962406014,66.5,0.5,5,1
128.0,8320.0,65.0,64.0,0.5,2,1
126.5,8215.0,64.9407114624506,62.5,0.49407114624505927,3,1
133.5,8800.0,65.91760299625469,65.5,0.49063670411985016,5,1
134.0,8925.0,66.6044776119403,65.5,0.48880597014925375,5,1
135.5,8945.0,66.01476014760148,67.5,0.4981549815498155,5,1
137.0,9223.0,67.32116788321167,67.0,0.48905109489051096,9,1
130.0,8488.0,65.29230769230769,64.0,0.49230769230769234,5,1
132.5,8745.0,66.0,67.0,0.5056603773584906,4,1
132.0,8725.0,66.09848484848484,66.5,0.5037878787878788,4,1
131.5,8785.0,66.80608365019012,66.5,0.5057034220532319,4,1
132.0,8653.0,65.5530303030303,66.5,0.5037878787878788,4,1
129.0,8385.0,65.0,64.5,0.5,2,1
127.0,8255.0,65.0,63.5,0.5,2,1
138.0,9235.0,66.92028985507247,68.0,0.4927536231884058,8,1
132.5,8712.0,65.75094339622642,65.5,0.49433962264150944,6,1
129.0,8458.0,65.56589147286822,65.0,0.5038759689922481,4,1
132.0,8725.0,66.09848484848484,66.5,0.5037878787878788,4,1
132.0,8725.0,66.09848484848484,66.5,0.5037878787878788,4,1
129.5,8609.0,66.47876447876448,65.5,0.5057915057915058,4,1
131.5,8680.0,66.00760456273764,66.5,0.5057034220532319,4,1
135.0,8962.0,66.38518518518518,66.5,0.4925925925925926,8,1
132.5,8626.0,65.10188679245283,66.5,0.5018867924528302,3,1
126.5,8380.5,66.24901185770752,63.5,0.5019762845849802,3,1
128.0,8372.0,65.40625,64.0,0.5,4,1
133.5,8862.0,66.38202247191012,67.5,0.5056179775280899,4,1
132.0,8725.0,66.09848484848484,66.5,0.5037878787878788,4,1
129.5,8519.0,65.78378378378379,65.0,0.5019305019305019,4,1
129.5,8488.0,65.54440154440154,65.5,0.5057915057915058,4,1
134.5,8932.0,66.40892193308551,66.0,0.49070631970260226,8,1
130.0,8704.5,66.95769230769231,66.0,0.5076923076923077,4,1
129.0,8484.0,65.76744186046511,65.0,0.5038759689922481,4,1
133.5,8810.0,65.99250936329588,67.5,0.5056179775280899,4,1
127.0,8255.0,65.0,63.5,0.5,2,1
